Ticker,Market_Cap_Billions,Log_Market_Cap,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Unknown,Sector_Utilities
A,41.246478336,3.7195657354634233,0,0,0,0,0,1,0,0,0,0,0
AAL,9.775881216,2.2799182517825893,0,0,0,0,0,0,1,0,0,0,0
AAPL,4137.20379392,8.327775426529236,0,0,0,0,0,0,0,0,1,0,0
ABBV,399.570305024,5.9903897322613915,0,0,0,0,0,1,0,0,0,0,0
ABT,217.696616448,5.3831024258505416,0,0,0,0,0,1,0,0,0,0,0
ACGL,34.231764992,3.5331540139355404,0,0,0,0,1,0,0,0,0,0,0
ACN,166.046285824,5.112266579755669,0,0,0,0,0,0,0,0,1,0,0
ADBE,146.883493888,4.9896397139531,0,0,0,0,0,0,0,0,1,0,0
ADI,137.734815744,4.925330211423617,0,0,0,0,0,0,0,0,1,0,0
ADM,28.358418432,3.344923932548915,0,0,1,0,0,0,0,0,0,0,0
ADP,105.983565824,4.663284042695991,0,0,0,0,0,0,0,0,1,0,0
ADSK,65.335619584,4.1795373635827975,0,0,0,0,0,0,0,0,1,0,0
AEE,27.011622912,3.2962672515973837,0,0,0,0,0,0,0,0,0,0,1
AEP,62.915121152,4.14178653468779,0,0,0,0,0,0,0,0,0,0,1
AES,9.912723456,2.2938191295568173,0,0,0,0,0,0,0,0,0,0,1
AFL,58.446385152,4.068109840872997,0,0,0,0,1,0,0,0,0,0,0
AIG,42.67491328,3.7536112365753347,0,0,0,0,1,0,0,0,0,0,0
AIZ,11.24584448,2.4199986808574416,0,0,0,0,1,0,0,0,0,0,0
AJG,61.558726656,4.119991624156359,0,0,0,0,1,0,0,0,0,0,0
AKAM,12.011308032,2.4858485420681653,0,0,0,0,0,0,0,0,1,0,0
ALB,14.734555136,2.69019542476003,0,0,0,0,0,0,0,0,0,0,0
ALL,53.299224576,3.9759217827732884,0,0,0,0,1,0,0,0,0,0,0
ALLE,13.685962752,2.616370690913275,0,0,0,0,0,0,1,0,0,0,0
AMAT,213.500166144,5.363637610860414,0,0,0,0,0,0,0,0,1,0,0
AME,46.144602112,3.8317799901210416,0,0,0,0,0,0,1,0,0,0,0
AMGN,177.639391232,5.179755603442123,0,0,0,0,0,1,0,0,0,0,0
AMP,44.973195264,3.8060666514939445,0,0,0,0,1,0,0,0,0,0,0
AMT,83.751411712,4.427853026825797,0,0,0,0,0,0,0,1,0,0,0
AMZN,2453.725249536,7.805362658748561,0,1,0,0,0,0,0,0,0,0,0
ANET,161.931476992,5.087173264219598,0,0,0,0,0,0,0,0,1,0,0
ANSS,,,0,0,0,0,0,0,0,0,0,1,0
AOS,9.53301504,2.254761041187738,0,0,0,0,0,0,1,0,0,0,0
APA,9.696013312,2.27171480226331,0,0,0,1,0,0,0,0,0,0,0
APD,58.02704896,4.06090926321306,0,0,0,0,0,0,0,0,0,0,0
APH,170.584375296,5.139230044087169,0,0,0,0,0,0,0,0,1,0,0
APTV,16.630317056,2.8112273583267635,0,1,0,0,0,0,0,0,0,0,0
ARE,7.860083712,2.06179725676608,0,0,0,0,0,0,0,1,0,0,0
ATO,27.696451584,3.3213043033269245,0,0,0,0,0,0,0,0,0,0,1
AVB,25.347026944,3.232661442843736,0,0,0,0,0,0,0,1,0,0,0
AVGO,1842.855673856,7.51907164416173,0,0,0,0,0,0,0,0,1,0,0
AVY,13.861383168,2.629106784453496,0,1,0,0,0,0,0,0,0,0,0
AWK,25.268502528,3.2295586607601736,0,0,0,0,0,0,0,0,0,0,1
AXP,257.71999232,5.551873694470658,0,0,0,0,1,0,0,0,0,0,0
AZO,63.704629248,4.154257232590649,0,1,0,0,0,0,0,0,0,0,0
BA,153.455673344,5.033411752321042,0,0,0,0,0,0,1,0,0,0,0
BAC,399.604809728,5.990476083058319,0,0,0,0,1,0,0,0,0,0,0
BALL,13.343460352,2.591026403551619,0,1,0,0,0,0,0,0,0,0,0
BAX,9.530595328,2.2545071845502713,0,0,0,0,0,1,0,0,0,0,0
BBWI,3.882512128,1.3564823997962898,0,1,0,0,0,0,0,0,0,0,0
BBY,15.675583488,2.7521043099410165,0,1,0,0,0,0,0,0,0,0,0
BDX,55.594262528,4.018080003989436,0,0,0,0,0,1,0,0,0,0,0
BEN,12.190711808,2.5006743345693563,0,0,0,0,1,0,0,0,0,0,0
BG,18.73180672,2.9302229730959506,0,0,1,0,0,0,0,0,0,0,0
BIIB,26.597122048,3.280803016250084,0,0,0,0,0,1,0,0,0,0,0
BIO,8.56963584,2.148225239291458,0,0,0,0,0,1,0,0,0,0,0
BK,80.411557888,4.387157920679057,0,0,0,0,1,0,0,0,0,0,0
BKNG,168.435482624,5.126552784031221,0,1,0,0,0,0,0,0,0,0,0
BLK,166.346604544,5.1140735907382835,0,0,0,0,1,0,0,0,0,0,0
BMY,106.164527104,4.664990033274474,0,0,0,0,0,1,0,0,0,0,0
BR,27.083128832,3.298910981694768,0,0,0,0,0,0,0,0,1,0,0
BRO,26.757148672,3.2868016777145135,0,0,0,0,1,0,0,0,0,0,0
BSX,144.567730176,4.973748118678317,0,0,0,0,0,1,0,0,0,0,0
BWA,9.369811968,2.237493028599671,0,1,0,0,0,0,0,0,0,0,0
BX,186.69699072,5.229486932153181,0,0,0,0,1,0,0,0,0,0,0
BXP,12.255392768,2.505966066078901,0,0,0,0,0,0,0,1,0,0,0
C,200.436957184,5.300499769293798,0,0,0,0,1,0,0,0,0,0,0
CAG,8.155895296,2.098741014964283,0,0,1,0,0,0,0,0,0,0,0
CAH,47.241023488,3.8552626568014916,0,0,0,0,0,1,0,0,0,0,0
CAT,282.572423168,5.643934882927014,0,0,0,0,0,0,1,0,0,0,0
CB,117.613641728,4.767405029825356,0,0,0,0,1,0,0,0,0,0,0
CBOE,26.449946624,3.275254140306053,0,0,0,0,1,0,0,0,0,0,0
CBRE,47.870808064,3.86850588364632,0,0,0,0,0,0,0,1,0,0,0
CCI,38.879563776,3.66046875977621,0,0,0,0,0,0,0,1,0,0,0
CCL,35.07666944,3.5575362211495136,0,1,0,0,0,0,0,0,0,0,0
CDNS,91.973541888,4.521500947513718,0,0,0,0,0,0,0,0,1,0,0
CDW,19.167633408,2.9532230965414685,0,0,0,0,0,0,0,0,1,0,0
CE,4.449184256,1.4927207661157929,0,0,0,0,0,0,0,0,0,0,0
CF,12.614453248,2.534843239734809,0,0,0,0,0,0,0,0,0,0,0
CFG,23.922614272,3.174824215418154,0,0,0,0,1,0,0,0,0,0,0
CHD,20.589807616,3.0247961774312095,0,0,1,0,0,0,0,0,0,0,0
CHRW,18.57352704,2.9217372894784144,0,0,0,0,0,0,1,0,0,0,0
CHTR,28.014813184,3.3327334125673858,1,0,0,0,0,0,0,0,0,0,0
CI,70.905880576,4.261353371932167,0,0,0,0,0,1,0,0,0,0,0
CINF,25.379893248,3.2339572561308234,0,0,0,0,1,0,0,0,0,0,0
CL,63.097798656,4.1446858823459065,0,0,1,0,0,0,0,0,0,0,0
