Ticker,Company_Name,Sector,Industry,Market_Cap,Country
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,40381800448.0,United States
AAL,American Airlines Group Inc.,Industrials,Airlines,9808884736.0,United States
AAPL,Apple Inc.,Technology,Consumer Electronics,4123996192768.0,United States
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,394338828288.0,United States
ABT,Abbott Laboratories,Healthcare,Medical Devices,212492632064.0,United States
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,33940654080.0,Bermuda
ACN,Accenture plc,Technology,Information Technology Services,165990236160.0,Ireland
ADBE,Adobe Inc.,Technology,Software - Application,143854698496.0,United States
ADI,"Analog Devices, Inc.",Technology,Semiconductors,136677154816.0,United States
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,27844208640.0,United States
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,104792604672.0,United States
ADSK,"Autodesk, Inc.",Technology,Software - Application,64196071424.0,United States
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,26865555456.0,United States
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,61946290176.0,United States
AES,The AES Corporation,Utilities,Utilities - Diversified,9869996032.0,United States
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57793888256.0,United States
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,42276032512.0,United States
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,11189834752.0,United States
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,61081067520.0,United States
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,12274581504.0,United States
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,14971125760.0,United States
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,52930314240.0,United States
ALLE,Allegion plc,Industrials,Security & Protection Services,13667036160.0,Ireland
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,213627633664.0,United States
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,46019883008.0,United States
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,172976144384.0,United States
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,44942086144.0,United States
AMT,American Tower Corporation,Real Estate,REIT - Specialty,85783625728.0,United States
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2425503088640.0,United States
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,162586296320.0,United States
ANSS,Unknown,Unknown,Unknown,,Unknown
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9409701888.0,United States
APA,APA Corporation,Energy,Oil & Gas E&P,9352538112.0,United States
